# This is a data file of potential over a plane
# Variables: N=25, Top=4, Right=1, Bottom=-4, Left=2, Front=3, Back=4, cycles=10000

# X	Y	Z	V
0	4	23	2
0	4	24	2
0	4	25	4
0	5	0	-4
0	5	1	2
0	5	2	2
0	5	3	2
0	5	4	2
0	5	5	2
0	5	6	2
0	5	7	2
0	5	8	2
0	5	9	2
0	5	10	2
0	5	11	2
0	5	12	2
0	5	13	2
0	5	14	2
0	5	15	2
0	5	16	2
0	5	17	2
0	5	18	2
0	5	19	2
0	5	20	2
0	5	21	2
0	5	22	2
0	5	23	2
0	5	24	2
0	5	25	4
0	6	0	-4
0	6	1	2
0	6	2	2
0	6	3	2
0	6	4	2
0	6	5	2
0	6	6	2
0	6	7	2
0	6	8	2
0	6	9	2
0	6	10	2
0	6	11	2
0	6	12	2
0	6	13	2
0	6	14	2
0	6	15	2
0	6	16	2
0	6	17	2
0	6	18	2
0	6	19	2
0	6	20	2
0	6	21	2
0	6	22	2
0	6	23	2
0	6	24	2
0	6	25	4
0	7	0	-4
0	7	1	2
0	7	2	2
0	7	3	2
0	7	4	2
0	7	5	2
0	7	6	2
0	7	7	2
0	7	8	2
0	7	9	2
0	7	10	2
0	7	11	2
0	7	12	2
0	7	13	2
0	7	14	2
0	7	15	2
0	7	16	2
0	7	17	2
0	7	18	2
0	7	19	2
0	7	20	2
0	7	21	2
0	7	22	2
0	7	23	2
0	7	24	2
0	7	25	4
0	8	0	-4
0	8	1	2
0	8	2	2
0	8	3	2
0	8	4	2
0	8	5	2
0	8	6	2
0	8	7	2
0	8	8	2
0	8	9	2
0	8	10	2
0	8	11	2
0	8	12	2
0	8	13	2
0	8	14	2
0	8	15	2
0	8	16	2
0	8	17	2
0	8	18	2
0	8	19	2
0	8	20	2
0	8	21	2
0	8	22	2
0	8	23	2
0	8	24	2
0	8	25	4
0	9	0	-4
0	9	1	2
0	9	2	2
0	9	3	2
0	9	4	2
0	9	5	2
0	9	6	2
0	9	7	2
0	9	8	2
0	9	9	2
0	9	10	2
0	9	11	2
0	9	12	2
0	9	13	2
0	9	14	2
0	9	15	2
0	9	16	2
0	9	17	2
0	9	18	2
0	9	19	2
0	9	20	2
0	9	21	2
0	9	22	2
0	9	23	2
0	9	24	2
0	9	25	4
0	10	0	-4
0	10	1	2
0	10	2	2
0	10	3	2
0	10	4	2
0	10	5	2
0	10	6	2
0	10	7	2
0	10	8	2
0	10	9	2
0	10	10	2
0	10	11	2
0	10	12	2
0	10	13	2
0	10	14	2
0	10	15	2
0	10	16	2
0	10	17	2
0	10	18	2
0	10	19	2
0	10	20	2
0	10	21	2
0	10	22	2
0	10	23	2
0	10	24	2
0	10	25	4
0	11	0	-4
0	11	1	2
0	11	2	2
0	11	3	2
0	11	4	2
0	11	5	2
0	11	6	2
0	11	7	2
0	11	8	2
0	11	9	2
0	11	10	2
0	11	11	2
0	11	12	2
0	11	13	2
0	11	14	2
0	11	15	2
0	11	16	2
0	11	17	2
0	11	18	2
0	11	19	2
0	11	20	2
0	11	21	2
0	11	22	2
0	11	23	2
0	11	24	2
0	11	25	4
0	12	0	-4
0	12	1	2
0	12	2	2
0	12	3	2
0	12	4	2
0	12	5	2
0	12	6	2
0	12	7	2
0	12	8	2
0	12	9	2
0	12	10	2
0	12	11	2
0	12	12	2
0	12	13	2
0	12	14	2
0	12	15	2
0	12	16	2
0	12	17	2
0	12	18	2
0	12	19	2
0	12	20	2
0	12	21	2
0	12	22	2
0	12	23	2
0	12	24	2
0	12	25	4
0	13	0	-4
0	13	1	2
0	13	2	2
0	13	3	2
0	13	4	2
0	13	5	2
0	13	6	2
0	13	7	2
0	13	8	2
0	13	9	2
0	13	10	2
0	13	11	2
0	13	12	2
0	13	13	2
0	13	14	2
0	13	15	2
0	13	16	2
0	13	17	2
0	13	18	2
0	13	19	2
0	13	20	2
0	13	21	2
0	13	22	2
0	13	23	2
0	13	24	2
0	13	25	4
0	14	0	-4
0	14	1	2
0	14	2	2
0	14	3	2
0	14	4	2
0	14	5	2
0	14	6	2
0	14	7	2
0	14	8	2
0	14	9	2
0	14	10	2
0	14	11	2
0	14	12	2
0	14	13	2
0	14	14	2
0	14	15	2
0	14	16	2
0	14	17	2
0	14	18	2
0	14	19	2
0	14	20	2
0	14	21	2
0	14	22	2
0	14	23	2
0	14	24	2
0	14	25	4
0	15	0	-4
0	15	1	2
0	15	2	2
0	15	3	2
0	15	4	2
0	15	5	2
0	15	6	2
0	15	7	2
0	15	8	2
0	15	9	2
0	15	10	2
0	15	11	2
0	15	12	2
0	15	13	2
0	15	14	2
0	15	15	2
0	15	16	2
0	15	17	2
0	15	18	2
0	15	19	2
0	15	20	2
0	15	21	2
0	15	22	2
0	15	23	2
0	15	24	2
0	15	25	4
0	16	0	-4
0	16	1	2
0	16	2	2
0	16	3	2
0	16	4	2
0	16	5	2
0	16	6	2
0	16	7	2
0	16	8	2
0	16	9	2
0	16	10	2
0	16	11	2
0	16	12	2
0	16	13	2
0	16	14	2
0	16	15	2
0	16	16	2
0	16	17	2
0	16	18	2
0	16	19	2
0	16	20	2
0	16	21	2
0	16	22	2
0	16	23	2
0	16	24	2
0	16	25	4
0	17	0	-4
0	17	1	2
0	17	2	2
0	17	3	2
0	17	4	2
0	17	5	2
0	17	6	2
0	17	7	2
0	17	8	2
0	17	9	2
0	17	10	2
0	17	11	2
0	17	12	2
0	17	13	2
0	17	14	2
0	17	15	2
0	17	16	2
0	17	17	2
0	17	18	2
0	17	19	2
0	17	20	2
0	17	21	2
0	17	22	2
0	17	23	2
0	17	24	2
0	17	25	4
0	18	0	-4
0	18	1	2
0	18	2	2
0	18	3	2
0	18	4	2
0	18	5	2
0	18	6	2
0	18	7	2
0	18	8	2
0	18	9	2
0	18	10	2
0	18	11	2
0	18	12	2
0	18	13	2
0	18	14	2
0	18	15	2
0	18	16	2
0	18	17	2
0	18	18	2
0	18	19	2
0	18	20	2
0	18	21	2
0	18	22	2
0	18	23	2
0	18	24	2
0	18	25	4
0	19	0	-4
0	19	1	2
0	19	2	2
0	19	3	2
0	19	4	2
0	19	5	2
0	19	6	2
0	19	7	2
0	19	8	2
0	19	9	2
0	19	10	2
0	19	11	2
0	19	12	2
0	19	13	2
0	19	14	2
0	19	15	2
0	19	16	2
0	19	17	2
0	19	18	2
0	19	19	2
0	19	20	2
0	19	21	2
0	19	22	2
0	19	23	2
0	19	24	2
0	19	25	4
0	20	0	-4
0	20	1	2
0	20	2	2
0	20	3	2
0	20	4	2
0	20	5	2
0	20	6	2
0	20	7	2
0	20	8	2
0	20	9	2
0	20	10	2
0	20	11	2
0	20	12	2
0	20	13	2
0	20	14	2
0	20	15	2
0	20	16	2
0	20	17	2
0	20	18	2
0	20	19	2
0	20	20	2
0	20	21	2
0	20	22	2
0	20	23	2
0	20	24	2
0	20	25	4
0	21	0	-4
0	21	1	2
0	21	2	2
0	21	3	2
0	21	4	2
0	21	5	2
0	21	6	2
0	21	7	2
0	21	8	2
0	21	9	2
0	21	10	2
0	21	11	2
0	21	12	2
0	21	13	2
0	21	14	2
0	21	15	2
0	21	16	2
0	21	17	2
0	21	18	2
0	21	19	2
0	21	20	2
0	21	21	2
0	21	22	2
0	21	23	2
0	21	24	2
0	21	25	4
0	22	0	-4
0	22	1	2
0	22	2	2
0	22	3	2
0	22	4	2
0	22	5	2
0	22	6	2
0	22	7	2
0	22	8	2
0	22	9	2
0	22	10	2
0	22	11	2
0	22	12	2
0	22	13	2
0	22	14	2
0	22	15	2
0	22	16	2
0	22	17	2
0	22	18	2
0	22	19	2
0	22	20	2
0	22	21	2
0	22	22	2
0	22	23	2
0	22	24	2
0	22	25	4
0	23	0	-4
0	23	1	2
0	23	2	2
0	23	3	2
0	23	4	2
0	23	5	2
0	23	6	2
0	23	7	2
0	23	8	2
0	23	9	2
0	23	10	2
0	23	11	2
0	23	12	2
0	23	13	2
0	23	14	2
0	23	15	2
0	23	16	2
0	23	17	2
0	23	18	2
0	23	19	2
0	23	20	2
0	23	21	2
0	23	22	2
0	23	23	2
0	23	24	2
0	23	25	4
0	24	0	-4
0	24	1	2
0	24	2	2
0	24	3	2
0	24	4	2
0	24	5	2
0	24	6	2
0	24	7	2
0	24	8	2
0	24	9	2
0	24	10	2
0	24	11	2
0	24	12	2
0	24	13	2
0	24	14	2
0	24	15	2
0	24	16	2
0	24	17	2
0	24	18	2
0	24	19	2
0	24	20	2
0	24	21	2
0	24	22	2
0	24	23	2
0	24	24	2
0	24	25	4
0	25	0	0
0	25	1	2
0	25	2	2
0	25	3	2
0	25	4	2
0	25	5	2
0	25	6	2
0	25	7	2
0	25	8	2
0	25	9	2
0	25	10	2
0	25	11	2
0	25	12	2
0	25	13	2
0	25	14	2
0	25	15	2
0	25	16	2
0	25	17	2
0	25	18	2
0	25	19	2
0	25	20	2
0	25	21	2
0	25	22	2
0	25	23	2
0	25	24	2
0	25	25	0

1	0	0	0
1	0	1	3
1	0	2	3
1	0	3	3
1	0	4	3
1	0	5	3
1	0	6	3
1	0	7	3
1	0	8	3
1	0	9	3
1	0	10	3
1	0	11	3
1	0	12	3
1	0	13	3
1	0	14	3
1	0	15	3
1	0	16	3
1	0	17	3
1	0	18	3
1	0	19	3
1	0	20	3
1	0	21	3
1	0	22	3
1	0	23	3
1	0	24	3
1	0	25	0
1	1	0	-4
1	1	1	0.190919
1	1	2	0.924796
1	1	3	1.1537
1	1	4	1.24818
1	1	5	1.29445
1	1	6	1.32015
1	1	7	1.33586
1	1	8	1.3462
1	1	9	1.35341
1	1	10	1.3587
1	1	11	1.36275
1	1	12	1.36599
1	1	13	1.3687
1	1	14	1.3711
1	1	15	1.37336
1	1	16	1.37565
1	1	17	1.3782
1	1	18	1.38132
1	1	19	1.38557
1	1	20	1.39203
1	1	21	1.40317
1	1	22	1.42513
1	1	23	1.48167
1	1	24	1.53584
1	1	25	4
1	2	0	-4
1	2	1	-0.270923
1	2	2	0.524933
1	2	3	0.832105
1	2	4	0.97839
1	2	5	1.05668
1	2	6	1.1026
1	2	7	1.13162
1	2	8	1.15114
1	2	9	1.16495
1	2	10	1.17517
1	2	11	1.18306
1	2	12	1.18939
1	2	13	1.19471
1	2	14	1.19942
1	2	15	1.20385
1	2	16	1.20834
1	2	17	1.2133
1	2	18	1.21931
1	2	19	1.22734
1	2	20	1.23922
1	2	21	1.25884
1	2	22	1.29493
1	2	23	1.37648
1	2	24	1.45879
1	2	25	4
1	3	0	-4
1	3	1	-0.411577
1	3	2	0.363273
1	3	3	0.687313
1	3	4	0.855206
1	3	5	0.95144
1	3	6	1.01084
1	3	7	1.0498
1	3	8	1.07668
1	3	9	1.09607
1	3	10	1.11061
1	3	11	1.12194
1	3	12	1.1311
1	3	13	1.13883
1	3	14	1.14569
1	3	15	1.15214
1	3	16	1.15866
1	3	17	1.16578
1	3	18	1.17429
1	3	19	1.18542
1	3	20	1.2014
1	3	21	1.22665
1	3	22	1.27059
1	3	23	1.36249
1	3	24	1.45439
1	3	25	4
1	4	0	-4
1	4	1	-0.469007
1	4	2	0.282714
1	4	3	0.605111
1	4	4	0.779771
1	4	5	0.884628
1	4	6	0.952038
1	4	7	0.99773
1	4	8	1.03009
1	4	9	1.05389
1	4	10	1.07202
1	4	11	1.0863
1	4	12	1.09795
1	4	13	1.10784
1	4	14	1.11663
1	4	15	1.1249
1	4	16	1.13321
1	4	17	1.14221
1	4	18	1.15279
1	4	19	1.16634
1	4	20	1.18523
1	4	21	1.21405
1	4	22	1.26221
1	4	23	1.35858
1	4	24	1.4538
1	4	25	4
1	5	0	-4
1	5	1	-0.496716
1	5	2	0.238818
1	5	3	0.555629
1	5	4	0.730958
1	5	5	0.839292
1	5	6	0.911028
1	5	7	0.960977
1	5	8	0.997167
1	5	9	1.02429
1	5	10	1.04526
1	5	11	1.06198
1	5	12	1.07574
1	5	13	1.0875
1	5	14	1.09798
1	5	15	1.10783
1	5	16	1.11768
1	5	17	1.12826
1	5	18	1.14051
1	5	19	1.15589
1	5	20	1.17682
1	5	21	1.20788
1	5	22	1.25838
1	5	23	1.35687
1	5	24	1.45346
1	5	25	4
1	6	0	-4
1	6	1	-0.511729
1	6	2	0.213236
1	6	3	0.524689
1	6	4	0.698603
1	6	5	0.807887
1	6	6	0.881739
1	6	7	0.934229
1	6	8	0.972987
1	6	9	1.00252
1	6	10	1.02567
1	6	11	1.04433
1	6	12	1.05983
1	6	13	1.07314
1	6	14	1.08506
1	6	15	1.09625
1	6	16	1.10739
1	6	17	1.11925
1	6	18	1.13282
1	6	19	1.14957
1	6	20	1.17192
1	6	21	1.20442
1	6	22	1.25628
1	6	23	1.35588
1	6	24	1.45317
1	6	25	4
1	7	0	-4
1	7	1	-0.520544
1	7	2	0.197544
1	7	3	0.504772
1	7	4	0.676834
1	7	5	0.78597
1	7	6	0.860719
1	7	7	0.914653
1	7	8	0.955076
1	7	9	0.986303
1	7	10	1.01108
1	7	11	1.03125
1	7	12	1.04813
1	7	13	1.06271
1	7	14	1.0758
1	7	15	1.08809
1	7	16	1.10029
1	7	17	1.11318
1	7	18	1.12776
1	7	19	1.14551
1	7	20	1.16886
1	7	21	1.2023
1	7	22	1.25499
1	7	23	1.35524
1	7	24	1.45294
1	7	25	4
1	8	0	-4
1	8	1	-0.525979
1	8	2	0.187604
1	8	3	0.491739
1	8	4	0.662124
1	8	5	0.770735
1	8	6	0.845769
1	8	7	0.90049
1	8	8	0.941968
1	8	9	0.974361
1	8	10	1.00031
1	8	11	1.02162
1	8	12	1.03958
1	8	13	1.05517
1	8	14	1.06919
1	8	15	1.08236
1	8	16	1.09538
1	8	17	1.10906
1	8	18	1.1244
1	8	19	1.14288
1	8	20	1.16691
1	8	21	1.20097
1	8	22	1.25418
1	8	23	1.35482
1	8	24	1.45277
1	8	25	4
1	9	0	-4
1	9	1	-0.52939
1	9	2	0.181263
1	9	3	0.483245
1	9	4	0.652323
1	9	5	0.760377
1	9	6	0.835432
1	9	7	0.890572
1	9	8	0.932713
1	9	9	0.965897
1	9	10	0.992688
1	9	11	1.01483
1	9	12	1.03359
1	9	13	1.04994
1	9	14	1.06467
1	9	15	1.0785
1	9	16	1.09215
1	9	17	1.10641
1	9	18	1.1223
1	9	19	1.14128
1	9	20	1.16577
1	9	21	1.20022
1	9	22	1.25374
1	9	23	1.35459
1	9	24	1.45269
1	9	25	4
1	10	0	-4
1	10	1	-0.531474
1	10	2	0.177352
1	10	3	0.477939
1	10	4	0.646119
1	10	5	0.753741
1	10	6	0.828748
1	10	7	0.884122
1	10	8	0.926683
1	10	9	0.960394
1	10	10	0.987762
1	10	11	1.01049
1	10	12	1.02982
1	10	13	1.04671
1	10	14	1.06195
1	10	15	1.07626
1	10	16	1.09034
1	10	17	1.105
1	10	18	1.12124
1	10	19	1.14054
1	10	20	1.16529
1	10	21	1.19995
1	10	22	1.25362
1	10	23	1.35456
1	10	24	1.45269
1	10	25	4
1	11	0	-4
1	11	1	-0.532602
1	11	2	0.175228
1	11	3	0.475047
1	11	4	0.642728
1	11	5	0.750114
1	11	6	0.82511
1	11	7	0.880642
1	11	8	0.923477
1	11	9	0.957531
1	11	10	0.985274
1	11	11	1.00839
1	11	12	1.02809
1	11	13	1.04533
1	11	14	1.06089
1	11	15	1.07549
1	11	16	1.08983
1	11	17	1.10471
1	11	18	1.12114
1	11	19	1.14058
1	11	20	1.16544
1	11	21	1.20015
1	11	22	1.25383
1	11	23	1.35473
1	11	24	1.45278
1	11	25	4
1	12	0	-4
1	12	1	-0.532961
1	12	2	0.17456
1	12	3	0.47416
1	12	4	0.641728
1	12	5	0.749105
1	12	6	0.824179
1	12	7	0.879855
1	12	8	0.922876
1	12	9	0.957137
1	12	10	0.985093
1	12	11	1.00841
1	12	12	1.0283
1	12	13	1.04571
1	12	14	1.06142
1	12	15	1.07614
1	12	16	1.09057
1	12	17	1.10552
1	12	18	1.12198
1	12	19	1.14141
1	12	20	1.16622
1	12	21	1.20085
1	12	22	1.2544
1	12	23	1.35513
1	12	24	1.45299
1	12	25	4
1	13	0	-4
1	13	1	-0.532622
1	13	2	0.175225
1	13	3	0.475127
1	13	4	0.642964
1	13	5	0.750574
1	13	6	0.825843
1	13	7	0.881678
1	13	8	0.924824
1	13	9	0.95918
1	13	10	0.987204
1	13	11	1.01057
1	13	12	1.03048
1	13	13	1.04789
1	13	14	1.06358
1	13	15	1.07825
1	13	16	1.09262
1	13	17	1.10747
1	13	18	1.1238
1	13	19	1.14308
1	13	20	1.16769
1	13	21	1.20208
1	13	22	1.25536
1	13	23	1.3558
1	13	24	1.45333
1	13	25	4
1	14	0	-4
1	14	1	-0.531558
1	14	2	0.177274
1	14	3	0.478017
1	14	4	0.64652
1	14	5	0.754614
1	14	6	0.8302
1	14	7	0.886211
1	14	8	0.929422
1	14	9	0.96376
1	14	10	0.991707
1	14	11	1.01495
1	14	12	1.03472
1	14	13	1.05195
1	14	14	1.06745
1	14	15	1.08192
1	14	16	1.09606
1	14	17	1.11065
1	14	18	1.12671
1	14	19	1.14568
1	14	20	1.16994
1	14	21	1.20394
1	14	22	1.2568
1	14	23	1.35678
1	14	24	1.45383
1	14	25	4
1	15	0	-4
1	15	1	-0.529642
1	15	2	0.180936
1	15	3	0.483131
1	15	4	0.652729
1	15	5	0.761562
1	15	6	0.83757
1	15	7	0.89375
1	15	8	0.936939
1	15	9	0.971121
1	15	10	0.998824
1	15	11	1.02177
1	15	12	1.04121
1	15	13	1.05809
1	15	14	1.07323
1	15	15	1.08732
1	15	16	1.10107
1	15	17	1.11526
1	15	18	1.13087
1	15	19	1.14936
1	15	20	1.17311
1	15	21	1.20656
1	15	22	1.25881
1	15	23	1.35814
1	15	24	1.45452
1	15	25	4
1	16	0	-4
1	16	1	-0.52661
1	16	2	0.186687
1	16	3	0.491069
1	16	4	0.662238
1	16	5	0.77205
1	16	6	0.848541
1	16	7	0.904821
1	16	8	0.947841
1	16	9	0.981679
1	16	10	1.00893
1	16	11	1.03137
1	16	12	1.05027
1	16	13	1.06662
1	16	14	1.08121
1	16	15	1.09475
1	16	16	1.10794
1	16	17	1.12154
1	16	18	1.13655
1	16	19	1.15439
1	16	20	1.17744
1	16	21	1.21013
1	16	22	1.26156
1	16	23	1.36002
1	16	24	1.45547
1	16	25	4
1	17	0	-4
1	17	1	-0.521979
1	17	2	0.195374
1	17	3	0.502877
1	17	4	0.676139
1	17	5	0.787121
1	17	6	0.864052
1	17	7	0.920252
1	17	8	0.962854
1	17	9	0.996074
1	17	10	1.0226
1	17	11	1.04428
1	17	12	1.06241
1	17	13	1.078
1	17	14	1.09184
1	17	15	1.10465
1	17	16	1.1171
1	17	17	1.12995
1	17	18	1.14416
1	17	19	1.16116
1	17	20	1.1833
1	17	21	1.21499
1	17	22	1.26532
1	17	23	1.36259
1	17	24	1.45677
1	17	25	4
1	18	0	-4
1	18	1	-0.514861
1	18	2	0.208504
1	18	3	0.520334
1	18	4	0.696217
1	18	5	0.808411
1	18	6	0.885543
1	18	7	0.941291
1	18	8	0.983065
1	18	9	1.01527
1	18	10	1.04072
1	18	11	1.06131
1	18	12	1.0784
1	18	13	1.09298
1	18	14	1.10586
1	18	15	1.11774
1	18	16	1.12926
1	18	17	1.14117
1	18	18	1.1544
1	18	19	1.17034
1	18	20	1.1913
1	18	21	1.22168
1	18	22	1.27055
1	18	23	1.3662
1	18	24	1.45862
1	18	25	4
1	19	0	-4
1	19	1	-0.503552
1	19	2	0.228828
1	19	3	0.546512
1	19	4	0.725391
1	19	5	0.838494
1	19	6	0.915217
1	19	7	0.969828
1	19	8	1.01013
1	19	9	1.04075
1	19	10	1.06465
1	19	11	1.08377
1	19	12	1.09949
1	19	13	1.1128
1	19	14	1.12449
1	19	15	1.13522
1	19	16	1.14562
1	19	17	1.15639
1	19	18	1.16842
1	19	19	1.18305
1	19	20	1.20253
1	19	21	1.23121
1	19	22	1.27811
1	19	23	1.37147
1	19	24	1.46134
1	19	25	4
1	20	0	-4
1	20	1	-0.484519
1	20	2	0.261634
1	20	3	0.586873
1	20	4	0.768533
1	20	5	0.881482
1	20	6	0.956531
1	20	7	1.00884
1	20	8	1.04669
1	20	9	1.07497
1	20	10	1.09671
1	20	11	1.1139
1	20	12	1.12788
1	20	13	1.13963
1	20	14	1.14989
1	20	15	1.15927
1	20	16	1.16835
1	20	17	1.17778
1	20	18	1.18837
1	20	19	1.20139
1	20	20	1.21901
1	20	21	1.24546
1	20	22	1.28963
1	20	23	1.37968
1	20	24	1.46565
1	20	25	4
1	21	0	-4
1	21	1	-0.449634
1	21	2	0.31777
1	21	3	0.651541
1	21	4	0.834056
1	21	5	0.944244
1	21	6	1.01527
1	21	7	1.06341
1	21	8	1.09744
1	21	9	1.12238
1	21	10	1.14125
1	21	11	1.15597
1	21	12	1.16784
1	21	13	1.17773
1	21	14	1.18631
1	21	15	1.19413
1	21	16	1.20169
1	21	17	1.20956
1	21	18	1.21848
1	21	19	1.22957
1	21	20	1.24485
1	21	21	1.26834
1	21	22	1.30864
1	21	23	1.39364
1	21	24	1.47318
1	21	25	4
1	22	0	-4
1	22	1	-0.378037
1	22	2	0.420703
1	22	3	0.759798
1	22	4	0.93692
1	22	5	1.03886
1	22	6	1.10187
1	22	7	1.14315
1	22	8	1.17156
1	22	9	1.19196
1	22	10	1.20715
1	22	11	1.21886
1	22	12	1.22821
1	22	13	1.23594
1	22	14	1.24262
1	22	15	1.24868
1	22	16	1.25454
1	22	17	1.26066
1	22	18	1.26765
1	22	19	1.27645
1	22	20	1.28882
1	22	21	1.30836
1	22	22	1.34307
1	22	23	1.41993
1	22	24	1.48781
1	22	25	4
1	23	0	-4
1	23	1	-0.201314
1	23	2	0.631376
1	23	3	0.957006
1	23	4	1.11287
1	23	5	1.19644
1	23	6	1.24543
1	23	7	1.27633
1	23	8	1.29704
1	23	9	1.31162
1	23	10	1.32233
1	23	11	1.3305
1	23	12	1.33696
1	23	13	1.34228
1	23	14	1.34686
1	23	15	1.351
1	23	16	1.35501
1	23	17	1.3592
1	23	18	1.36402
1	23	19	1.37017
1	23	20	1.37898
1	23	21	1.39332
1	23	22	1.41983
1	23	23	1.48292
1	23	24	1.52864
1	23	25	4
1	24	0	-4
1	24	1	0.185796
1	24	2	0.969769
1	24	3	1.21633
1	24	4	1.31798
1	24	5	1.36767
1	24	6	1.39521
1	24	7	1.41199
1	24	8	1.42299
1	24	9	1.43062
1	24	10	1.43617
1	24	11	1.44038
1	24	12	1.44369
1	24	13	1.4464
1	24	14	1.44873
1	24	15	1.45083
1	24	16	1.45286
1	24	17	1.455
1	24	18	1.45746
1	24	19	1.46063
1	24	20	1.46525
1	24	21	1.47298
1	24	22	1.48773
1	24	23	1.52862
1	24	24	1.51443
1	24	25	4
1	25	0	0
1	25	1	4
1	25	2	4
1	25	3	4
1	25	4	4
1	25	5	4
1	25	6	4
1	25	7	4
1	25	8	4
1	25	9	4
1	25	10	4
1	25	11	4
1	25	12	4
1	25	13	4
1	25	14	4
1	25	15	4
1	25	16	4
1	25	17	4
1	25	18	4
1	25	19	4
1	25	20	4
1	25	21	4
1	25	22	4
1	25	23	4
1	25	24	4
1	25	25	0

2	0	0	0
2	0	1	3
2	0	2	3
2	0	3	3
2	0	4	3
2	0	5	3
2	0	6	3
2	0	7	3
2	0	8	3
2	0	9	3
2	0	10	3
2	0	11	3
2	0	12	3
2	0	13	3
2	0	14	3
2	0	15	3
2	0	16	3
2	0	17	3
2	0	18	3
2	0	19	3
2	0	20	3
2	0	21	3
2	0	22	3
2	0	23	3
2	0	24	3
2	0	25	0
2	1	0	-4
2	1	1	-0.100115
2	1	2	0.733057
2	1	3	1.05007
2	1	4	1.19932
2	1	5	1.27863
2	1	6	1.32494
2	1	7	1.35413
2	1	8	1.37373
2	1	9	1.38758
2	1	10	1.39783
2	1	11	1.40572
2	1	12	1.41206
2	1	13	1.41738
2	1	14	1.42208
2	1	15	1.4265
2	1	16	1.43097
2	1	17	1.43589
2	1	18	1.44182
2	1	19	1.44968
2	1	20	1.46117
2	1	21	1.47977
2	1	22	1.5129
2	1	23	1.5846
2	1	24	1.63211
2	1	25	4
2	2	0	-4
2	2	1	-0.723931
2	2	2	0.171553
2	2	3	0.603157
2	2	4	0.837214
2	2	5	0.972457
2	2	6	1.05555
2	2	7	1.10961
2	2	8	1.14664
2	2	9	1.17318
2	2	10	1.19299
2	2	11	1.20835
2	2	12	1.22075
2	2	13	1.23119
2	2	14	1.24042
2	2	15	1.24911
2	2	16	1.25786
2	2	17	1.26743
2	2	18	1.27885
2	2	19	1.29376
2	2	20	1.31501
2	2	21	1.34804
2	2	22	1.4033
2	2	23	1.50888
2	2	24	1.58378
2	2	25	4
2	3	0	-4
2	3	1	-0.94469
2	3	2	-0.0918623
2	3	3	0.363863
2	3	4	0.63421
2	3	5	0.801383
2	3	6	0.909282
2	3	7	0.982015
2	3	8	1.0331
2	3	9	1.07038
2	3	10	1.09858
2	3	11	1.12066
2	3	12	1.1386
2	3	13	1.15377
2	3	14	1.16723
2	3	15	1.17988
2	3	16	1.19258
2	3	17	1.20635
2	3	18	1.22256
2	3	19	1.24328
2	3	20	1.27199
2	3	21	1.31486
2	3	22	1.38291
2	3	23	1.50338
2	3	24	1.58816
2	3	25	4
2	4	0	-4
2	4	1	-1.04311
2	4	2	-0.232992
2	4	3	0.217955
2	4	4	0.499648
2	4	5	0.682367
2	4	6	0.805149
2	4	7	0.89063
2	4	8	0.952206
2	4	9	0.99802
2	4	10	1.03319
2	4	11	1.06104
2	4	12	1.08386
2	4	13	1.10326
2	4	14	1.12053
2	4	15	1.13673
